item_id,system,agent_count,task_id,backbone,coord_tokens,work_tokens,total_tokens,coord_pct,system_description,your_label,ground_truth_label
32823839_crew,crewai,4,django__django-10914,gpt-4o-mini,189830,21660,211490,89.8%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (189830): shared context broadcast + coordinator calls. Work tokens (21660): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
668ef675_crew,crewai,8,astropy__astropy-13977,gpt-4o-mini,181620,14840,196460,92.4%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (181620): shared context broadcast + coordinator calls. Work tokens (14840): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
bb5fa9e2_auto,autogen,16,django__django-11095,gpt-4o-mini,413957,13103,427060,96.9%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (413957): full message history (growing context). Work tokens (13103): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
2ed49748_auto,autogen,16,astropy__astropy-13033,gpt-4o-mini,628495,18896,647391,97.1%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (628495): full message history (growing context). Work tokens (18896): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
a6719050_lang,langgraph,16,sympy__sympy-12481,gpt-4o-mini,5125,915,6040,84.9%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (5125): supervisor prompt+completion (routing/synthesis). Work tokens (915): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
7a5c3633_crew,crewai,8,django__django-11066,gpt-4o-mini,176590,18760,195350,90.4%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (176590): shared context broadcast + coordinator calls. Work tokens (18760): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
f2b6d856_auto,autogen,4,django__django-11066,gpt-4o-mini,273407,10097,283504,96.4%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (273407): full message history (growing context). Work tokens (10097): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
5bc001f9_crew,crewai,8,django__django-10973,gpt-4o-mini,85860,9990,95850,89.6%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (85860): shared context broadcast + coordinator calls. Work tokens (9990): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
88b84d1c_crew,crewai,8,astropy__astropy-13236,gpt-4o-mini,210465,20460,230925,91.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (210465): shared context broadcast + coordinator calls. Work tokens (20460): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
35c76aec_sbus,sbus,16,sympy__sympy-11618,gpt-4o-mini,888,3969,4857,18.3%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (888): tokens spent reading shard content. Work tokens (3969): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
56962ce7_auto,autogen,4,astropy__astropy-14096,gpt-4o-mini,276593,9759,286352,96.6%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (276593): full message history (growing context). Work tokens (9759): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
fe9b981e_auto,autogen,8,astropy__astropy-12907,gpt-4o-mini,375528,12473,388001,96.8%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (375528): full message history (growing context). Work tokens (12473): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
bf6e5153_auto,autogen,16,astropy__astropy-13033,gpt-4o-mini,299171,6927,306098,97.7%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (299171): full message history (growing context). Work tokens (6927): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
afd4a6a1_crew,crewai,16,django__django-11099,gpt-4o-mini,152355,18715,171070,89.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (152355): shared context broadcast + coordinator calls. Work tokens (18715): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
3814ee0c_crew,crewai,4,django__django-11066,gpt-4o-mini,153475,17100,170575,90.0%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (153475): shared context broadcast + coordinator calls. Work tokens (17100): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
d6024a0c_crew,crewai,16,django__django-11066,gpt-4o-mini,157185,17485,174670,90.0%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (157185): shared context broadcast + coordinator calls. Work tokens (17485): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
9e3c0c0f_auto,autogen,8,astropy__astropy-13033,gpt-4o-mini,506893,17398,524291,96.7%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (506893): full message history (growing context). Work tokens (17398): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
bcf6a2b7_auto,autogen,16,sympy__sympy-12419,gpt-4o-mini,643024,19488,662512,97.1%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (643024): full message history (growing context). Work tokens (19488): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
69cd8607_sbus,sbus,16,django__django-11095,gpt-4o-mini,815,3999,4814,16.9%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (815): tokens spent reading shard content. Work tokens (3999): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
a692cec3_crew,crewai,8,astropy__astropy-13579,gpt-4o-mini,281090,19305,300395,93.6%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (281090): shared context broadcast + coordinator calls. Work tokens (19305): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
8b5d7f31_lang,langgraph,4,django__django-10999,gpt-4o-mini,17079,2963,20042,85.2%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (17079): supervisor prompt+completion (routing/synthesis). Work tokens (2963): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
7d095376_auto,autogen,8,django__django-10973,gpt-4o-mini,183831,5121,188952,97.3%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (183831): full message history (growing context). Work tokens (5121): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
d0e5313c_lang,langgraph,4,astropy__astropy-13033,gpt-4o-mini,22557,3260,25817,87.4%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (22557): supervisor prompt+completion (routing/synthesis). Work tokens (3260): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
8c0fa079_auto,autogen,8,django__django-10880,gpt-4o-mini,200237,6730,206967,96.7%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (200237): full message history (growing context). Work tokens (6730): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
64b30c4f_sbus,sbus,8,astropy__astropy-13453,gpt-4o-mini,2043,63051,65094,3.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2043): tokens spent reading shard content. Work tokens (63051): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
c57eb336_auto,autogen,4,django__django-10097,gpt-4o-mini,170726,5147,175873,97.1%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (170726): full message history (growing context). Work tokens (5147): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
4577821a_sbus,sbus,16,django__django-11087,gpt-4o-mini,1216,37824,39040,3.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1216): tokens spent reading shard content. Work tokens (37824): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
be7a5c97_auto,autogen,16,django__django-10097,gpt-4o-mini,364560,10094,374654,97.3%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (364560): full message history (growing context). Work tokens (10094): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
2707f4a2_lang,langgraph,4,django__django-11087,gpt-4o-mini,37113,3395,40508,91.6%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (37113): supervisor prompt+completion (routing/synthesis). Work tokens (3395): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
371ce641_auto,autogen,8,django__django-10880,gpt-4o-mini,157504,4981,162485,96.9%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (157504): full message history (growing context). Work tokens (4981): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
b586b791_lang,langgraph,8,astropy__astropy-14182,gpt-4o-mini,12231,1580,13811,88.6%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (12231): supervisor prompt+completion (routing/synthesis). Work tokens (1580): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
785b00de_lang,langgraph,4,django__django-11095,gpt-4o-mini,17462,3165,20627,84.7%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (17462): supervisor prompt+completion (routing/synthesis). Work tokens (3165): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
d08f5eb6_auto,autogen,4,django__django-10973,gpt-4o-mini,279872,11479,291351,96.1%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (279872): full message history (growing context). Work tokens (11479): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
b92af634_lang,langgraph,8,astropy__astropy-13977,gpt-4o-mini,15855,1681,17536,90.4%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (15855): supervisor prompt+completion (routing/synthesis). Work tokens (1681): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
52acbd35_crew,crewai,4,astropy__astropy-13033,gpt-4o-mini,220375,17615,237990,92.6%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (220375): shared context broadcast + coordinator calls. Work tokens (17615): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
10131dc2_auto,autogen,8,django__django-10554,gpt-4o-mini,459648,15703,475351,96.7%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (459648): full message history (growing context). Work tokens (15703): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
4aeea6b9_sbus,sbus,16,astropy__astropy-13033,gpt-4o-mini,1124,13028,14152,7.9%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1124): tokens spent reading shard content. Work tokens (13028): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
3319eb4b_auto,autogen,8,astropy__astropy-13398,gpt-4o-mini,343695,9976,353671,97.2%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (343695): full message history (growing context). Work tokens (9976): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
67df0c56_sbus,sbus,4,sympy__sympy-12481,gpt-4o-mini,3139,14139,17278,18.2%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3139): tokens spent reading shard content. Work tokens (14139): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
c6f5b2bb_auto,autogen,8,astropy__astropy-13033,gpt-4o-mini,480192,16145,496337,96.7%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (480192): full message history (growing context). Work tokens (16145): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
bc0611ee_sbus,sbus,16,astropy__astropy-12907,gpt-4o-mini,1143,7957,9100,12.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1143): tokens spent reading shard content. Work tokens (7957): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
622ed3cd_crew,crewai,4,sympy__sympy-12489,gpt-4o-mini,158120,18075,176195,89.7%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (158120): shared context broadcast + coordinator calls. Work tokens (18075): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
1e6cf3c3_lang,langgraph,4,sympy__sympy-12489,gpt-4o-mini,18918,3146,22064,85.7%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (18918): supervisor prompt+completion (routing/synthesis). Work tokens (3146): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
b6d59eb5_auto,autogen,4,astropy__astropy-13453,gpt-4o-mini,524106,16213,540319,97.0%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (524106): full message history (growing context). Work tokens (16213): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
8ab9c187_crew,crewai,8,sympy__sympy-12481,gpt-4o-mini,99565,14995,114560,86.9%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (99565): shared context broadcast + coordinator calls. Work tokens (14995): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
8bd6a6e5_sbus,sbus,8,django__django-10914,gpt-4o-mini,1603,10615,12218,13.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1603): tokens spent reading shard content. Work tokens (10615): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
020b595a_lang,langgraph,4,astropy__astropy-13033,gpt-4o-mini,23031,3302,26333,87.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (23031): supervisor prompt+completion (routing/synthesis). Work tokens (3302): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
39f014ca_sbus,sbus,16,django__django-10880,gpt-4o-mini,945,3791,4736,20.0%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (945): tokens spent reading shard content. Work tokens (3791): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
3a2a4f25_lang,langgraph,8,astropy__astropy-14182,gpt-4o-mini,12559,1610,14169,88.6%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (12559): supervisor prompt+completion (routing/synthesis). Work tokens (1610): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
6a57282a_sbus,sbus,8,astropy__astropy-13033,gpt-4o-mini,1894,23550,25444,7.4%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1894): tokens spent reading shard content. Work tokens (23550): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
f5eb12c3_sbus,sbus,8,django__django-11066,gpt-4o-mini,2027,16567,18594,10.9%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2027): tokens spent reading shard content. Work tokens (16567): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
51feaacd_auto,autogen,8,django__django-10914,gpt-4o-mini,410444,14064,424508,96.7%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (410444): full message history (growing context). Work tokens (14064): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
da57606f_crew,crewai,8,django__django-11087,gpt-4o-mini,380650,18915,399565,95.3%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (380650): shared context broadcast + coordinator calls. Work tokens (18915): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
50b2075e_lang,langgraph,8,django__django-11099,gpt-4o-mini,10502,1709,12211,86.0%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (10502): supervisor prompt+completion (routing/synthesis). Work tokens (1709): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
810dc905_sbus,sbus,16,django__django-11099,gpt-4o-mini,872,5227,6099,14.3%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (872): tokens spent reading shard content. Work tokens (5227): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
31de4604_lang,langgraph,4,django__django-10973,gpt-4o-mini,16832,3007,19839,84.8%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (16832): supervisor prompt+completion (routing/synthesis). Work tokens (3007): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
6c6bd100_crew,crewai,16,astropy__astropy-12907,gpt-4o-mini,164250,18050,182300,90.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (164250): shared context broadcast + coordinator calls. Work tokens (18050): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
cbe8cb1d_lang,langgraph,8,django__django-11066,gpt-4o-mini,12220,1744,13964,87.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (12220): supervisor prompt+completion (routing/synthesis). Work tokens (1744): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
87c9c7a3_crew,crewai,4,astropy__astropy-13398,gpt-4o-mini,1467545,35080,1502625,97.7%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (1467545): shared context broadcast + coordinator calls. Work tokens (35080): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
1658f4c7_crew,crewai,16,sympy__sympy-12419,gpt-4o-mini,167605,18365,185970,90.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (167605): shared context broadcast + coordinator calls. Work tokens (18365): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
afd252c2_sbus,sbus,8,django__django-11095,gpt-4o-mini,1599,7285,8884,18.0%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1599): tokens spent reading shard content. Work tokens (7285): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
c41f4e7a_sbus,sbus,4,sympy__sympy-12481,gpt-4o-mini,3118,14073,17191,18.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3118): tokens spent reading shard content. Work tokens (14073): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
bd96d03a_auto,autogen,16,django__django-10999,gpt-4o-mini,391522,12378,403900,96.9%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (391522): full message history (growing context). Work tokens (12378): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
593013e4_lang,langgraph,16,astropy__astropy-13398,gpt-4o-mini,14398,924,15322,94.0%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (14398): supervisor prompt+completion (routing/synthesis). Work tokens (924): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
